NAME,B08303_001E,B08303_004E,B08303_005E,B08303_006E,B08303_007E,B08303_008E,state,county
"Greenup County, Kentucky",13296,2035,2228,2089,853,1583,21,089
"Harlan County, Kentucky",6295,1256,944,772,163,491,21,095
"Hart County, Kentucky",7233,1026,875,797,560,736,21,099
"McLean County, Kentucky",3590,361,418,379,252,558,21,149
"Magoffin County, Kentucky",3242,330,344,485,132,494,21,153
"Martin County, Kentucky",3102,282,574,346,92,179,21,159
"Menifee County, Kentucky",1999,93,226,63,113,352,21,165
"Monroe County, Kentucky",4320,522,439,300,184,479,21,171
"Muhlenberg County, Kentucky",11466,1717,1535,1660,452,940,21,177
"Ohio County, Kentucky",9391,1182,1106,870,653,1577,21,183
"Owsley County, Kentucky",1183,131,197,109,101,27,21,189
"Perry County, Kentucky",9009,1777,1220,1557,579,795,21,193
"Pulaski County, Kentucky",24656,5354,4809,3878,1706,1802,21,199
"Rowan County, Kentucky",9736,2230,1345,1206,366,619,21,205
"Shelby County, Kentucky",22109,2921,3083,2526,1533,3650,21,211
"Taylor County, Kentucky",10336,2691,1598,1235,217,809,21,217
"Trigg County, Kentucky",5628,780,545,683,405,954,21,221
"Warren County, Kentucky",61601,12133,14018,10001,3471,4896,21,227
"Webster County, Kentucky",4920,503,459,488,358,903,21,233
"Woodford County, Kentucky",11983,1548,1420,1658,1069,1912,21,239
"Barren County, Kentucky",16915,3412,3075,1810,880,1678,21,009
